cricketers,Value,weight,dob,correct_uris
Virat Kohli,royal challengers bangalore,152,5/11/88,Q1156897
Tendulkar,mumbai indians,137,24/04/1973,Q1195237
Dhoni,chennai super kings,154,7/7/81,Q1292535
Jasprit Bumrah,mumbai indians,154,6/12/93,Q1195237
Ajinkya Rahane, rajasthan royals,134,6/6/88,Q1209990
Rohit Sharma,mumbai indians,159,30/04/1987,Q1195237
Bhuvneshwar Kumar,deccan chargers,154,5/2/90,Q1181758
Ravindra Jadeja,chennai super kings,132,6/12/88,Q1292535
Rishabh Pant,delhi capitals,136,4/8/97,Q738648
Shikhar Dhawan,delhi capitals,157,5/12/85,Q738648
Cheteshwar Pujara,deccan chargers,157,25/01/1988,Q1181758
Ishant Sharma,delhi capitals,168,2/9/88,Q738648
Mohammad Shami,kings XI punjab,152,3/9/90,Q537658
