Value,correct_uris
Chicago White Sox,Q335169
New York Giants,Q190618
Boston Braves,Q461595
Cleveland Indians,Q642553
Brooklyn Robins,Q334634
Brooklyn Dodgers,Q334634
Philadelphia Athletics,Q504339
Brooklyn Royal Giants,Q4974889
Boston Red Sox,Q213959
New York Yankees,Q213417
Washington Senators,Q329816
Philadelphia Phillies,Q650840
St. Louis Browns,Q650816
St. Louis Cardinals,Q504309
Milwaukee Braves,Q461595
Cincinnati Reds,Q826751
Boston Beaneaters,Q461595
New York Highlanders,Q213417
Chicago Bears,Q205033
Kansas City Cowboys,Q1562612
Brooklyn Superbas,Q334634
St. Louis Maroons,Q1562667
Tacoma Tigers,Q2740096
