correct_uris,Value,Value_cta_class,Value_answer_Qnode,Value_answer_dburi,evaluation
Q5838,Kabul,Q3257686,Q5838,http://dbpedia.org/resource/Kabul,1
Q19689,Tirana,Q3257686,Q19689,http://dbpedia.org/resource/Tirana,1
Q3561,Algiers,Q3257686,Q3561,http://dbpedia.org/resource/Algiers,1
Q1863,Andorra la Vella,Q3257686,Q1863,http://dbpedia.org/resource/Andorra_la_Vella,1
Q3897,Luanda,Q3257686,Q3897,http://dbpedia.org/resource/Luanda,1
Q36262,St. John's,Q3257686,Q36262,"http://dbpedia.org/resource/St._John's,_Antigua_and_Barbuda",1
Q1486,Buenos Aires,Q3257686,Q1486,http://dbpedia.org/resource/Buenos_Aires,1
Q1953,Yerevan,Q3257686,Q1953,http://dbpedia.org/resource/Yerevan,1
Q3114,Canberra,Q3257686,Q3114,http://dbpedia.org/resource/Canberra,1
Q1741,Vienna,Q3257686,Q1741,http://dbpedia.org/resource/Vienna,1
Q9248,Baku,Q3257686,Q9248,http://dbpedia.org/resource/Baku,1
Q2467,Nassau,Q3257686,Q2467,"http://dbpedia.org/resource/Nassau,_Bahamas",1
Q3882,Manama,Q3257686,Q3882,http://dbpedia.org/resource/Manama,1
Q1354,Dhaka,Q3257686,Q1354,http://dbpedia.org/resource/Dhaka,1
Q36168,Bridgetown,Q3257686,Q36168,http://dbpedia.org/resource/Bridgetown,1
Q2280,Minsk,Q3257686,Q2280,http://dbpedia.org/resource/Minsk,1
Q239,Brussels,Q3257686,Q239,http://dbpedia.org/resource/City_of_Brussels,1
Q3043,Belmopan,Q3257686,Q3043,http://dbpedia.org/resource/Belmopan,1
Q3799,Porto-Novo,Q3257686,Q3799,http://dbpedia.org/resource/Porto-Novo,1
Q9270,Thimphu,Q3257686,Q9270,http://dbpedia.org/resource/Thimphu,1
Q1491,La Paz,Q3257686,Q1491,http://dbpedia.org/resource/La_Paz,1
Q2907,Sucre,Q3257686,Q2907,http://dbpedia.org/resource/Sucre,1
Q11194,Sarajevo,Q3257686,Q11194,http://dbpedia.org/resource/Sarajevo,1
Q3919,Gaborone,Q3257686,Q3919,http://dbpedia.org/resource/Gaborone,1
Q2844,Brasília,Q3257686,Q2844,http://dbpedia.org/resource/Brasília,1
Q9279,Bandar Seri Begawan,Q3257686,Q9279,http://dbpedia.org/resource/Bandar_Seri_Begawan,1
Q472,Sofia,Q3257686,Q472,http://dbpedia.org/resource/Sofia,1
Q3777,Ouagadougou,Q3257686,Q3777,http://dbpedia.org/resource/Ouagadougou,1
Q167551,Gitega,Q3257686,Q167551,http://dbpedia.org/resource/Gitega,1
Q1850,Phnom Penh,Q3257686,Q1850,http://dbpedia.org/resource/Phnom_Penh,1
Q3808,Yaoundé,Q3257686,Q3808,http://dbpedia.org/resource/Yaoundé,1
Q1930,Ottawa,Q3257686,Q1930,http://dbpedia.org/resource/Ottawa,1
Q3751,Praia,Q3257686,Q3751,http://dbpedia.org/resource/Praia,1
Q3832,Bangui,Q3257686,Q3832,http://dbpedia.org/resource/Bangui,1
Q3659,N'Djamena,Q3257686,Q3659,http://dbpedia.org/resource/N'Djamena,1
Q2887,Santiago,Q3257686,Q2887,http://dbpedia.org/resource/Santiago,1
Q2841,Bogotá,Q3257686,Q2841,http://dbpedia.org/resource/Bogotá,1
Q3901,Moroni,Q3257686,Q3901,"http://dbpedia.org/resource/Moroni,_Comoros",1
Q3070,San José,Q3257686,Q3070,"http://dbpedia.org/resource/San_José,_Costa_Rica",1
Q1435,Zagreb,Q3257686,Q1435,http://dbpedia.org/resource/Zagreb,1
Q1563,Havana,Q3257686,Q1563,http://dbpedia.org/resource/Havana,1
Q1085,Prague,Q3257686,Q1085,http://dbpedia.org/resource/Prague,1
Q3838,Kinshasa,Q3257686,Q3838,http://dbpedia.org/resource/Kinshasa,1
Q1748,Copenhagen,Q3257686,Q1748,http://dbpedia.org/resource/Copenhagen,1
Q3604,Djibouti,Q3257686,Q3604,http://dbpedia.org/resource/Djibouti_(city),1
Q36281,Roseau,Q3257686,Q36281,http://dbpedia.org/resource/Roseau,1
Q34820,Santo Domingo,Q3257686,Q34820,http://dbpedia.org/resource/Santo_Domingo,1
Q9310,Dili,Q3257686,Q9310,http://dbpedia.org/resource/Dili,1
Q2900,Quito,Q3257686,Q2900,http://dbpedia.org/resource/Quito,1
Q85,Cairo,Q3257686,Q85,http://dbpedia.org/resource/Cairo,1
Q3110,San Salvador,Q3257686,Q3110,http://dbpedia.org/resource/San_Salvador,1
Q3818,Malabo,Q3257686,Q3818,http://dbpedia.org/resource/Malabo,1
Q3642,Asmara,Q3257686,Q3642,http://dbpedia.org/resource/Asmara,1
Q1770,Tallinn,Q3257686,Q1770,http://dbpedia.org/resource/Tallinn,1
Q3904,Mbabane,Q3257686,Q3904,http://dbpedia.org/resource/Mbabane,1
Q101418,Lobamba,Q3257686,Q101418,http://dbpedia.org/resource/Lobamba,1
Q3624,Addis Ababa,Q3257686,Q3624,http://dbpedia.org/resource/Addis_Ababa,1
Q42751,Palikir,Q3257686,Q42751,http://dbpedia.org/resource/Palikir,1
Q38807,Suva,Q3257686,Q38807,http://dbpedia.org/resource/Suva,1
Q1757,Helsinki,Q3257686,Q1757,http://dbpedia.org/resource/Helsinki,1
Q90,Paris,Q3257686,Q90,http://dbpedia.org/resource/Paris,1
Q3825,Libreville,Q3257686,Q3825,http://dbpedia.org/resource/Libreville,1
Q3726,Banjul,Q3257686,Q3726,http://dbpedia.org/resource/Banjul,1
Q994,Tbilisi,Q3257686,Q994,http://dbpedia.org/resource/Tbilisi,1
Q64,Berlin,Q3257686,Q64,http://dbpedia.org/resource/Berlin,1
Q3761,Accra,Q3257686,Q3761,http://dbpedia.org/resource/Accra,1
Q1524,Athens,Q3257686,Q1524,http://dbpedia.org/resource/Athens,1
Q41547,St. George's,Q3257686,Q41547,"http://dbpedia.org/resource/St._George's,_Grenada",1
Q1555,Guatemala City,Q3257686,Q1555,http://dbpedia.org/resource/Guatemala_City,1
Q3733,Conakry,Q3257686,Q3733,http://dbpedia.org/resource/Conakry,1
Q3739,Bissau,Q3257686,Q3739,http://dbpedia.org/resource/Bissau,1
Q10717,Georgetown,Q3257686,Q10717,"http://dbpedia.org/resource/Georgetown,_Guyana",1
Q34261,Port-au-Prince,Q3257686,Q34261,http://dbpedia.org/resource/Port-au-Prince,1
Q3238,Tegucigalpa,Q3257686,Q3238,http://dbpedia.org/resource/Tegucigalpa,1
Q1781,Budapest,Q3257686,Q1781,http://dbpedia.org/resource/Budapest,1
Q1764,Reykjavík,Q3257686,Q1764,http://dbpedia.org/resource/Reykjavík,1
Q987,New Delhi,Q3257686,Q987,http://dbpedia.org/resource/New_Delhi,1
Q3630,Jakarta,Q3257686,Q3630,http://dbpedia.org/resource/Jakarta,1
Q3616,Tehran,Q3257686,Q3616,http://dbpedia.org/resource/Tehran,1
Q1530,Baghdad,Q3257686,Q1530,http://dbpedia.org/resource/Baghdad,1
Q1761,Dublin,Q3257686,Q1761,http://dbpedia.org/resource/Dublin,1
Q1218,Jerusalem,Q3257686,Q1218,http://dbpedia.org/resource/Jerusalem,1
Q220,Rome,Q3257686,Q220,http://dbpedia.org/resource/Rome,1
Q3768,Yamoussoukro,Q3257686,Q3768,http://dbpedia.org/resource/Yamoussoukro,1
Q34692,Kingston,Q3257686,Q34692,"http://dbpedia.org/resource/Kingston,_Jamaica",1
Q1490,Tokyo,Q3257686,Q1490,http://dbpedia.org/resource/Tokyo,1
Q3805,Amman,Q3257686,Q3805,http://dbpedia.org/resource/Amman,1
Q1520,Nur-Sultan,Q3257686,Q1520,http://dbpedia.org/resource/Nur-Sultan,1
Q3870,Nairobi,Q3257686,Q3870,http://dbpedia.org/resource/Nairobi,1
Q1748,Copenhagen,Q3257686,Q1748,http://dbpedia.org/resource/Copenhagen,1
Q727,Amsterdam,Q3257686,Q727,http://dbpedia.org/resource/Amsterdam,1
Q131233,South Tarawa,Q3257686,Q131233,http://dbpedia.org/resource/South_Tarawa,1
Q35178,Kuwait city,Q3257686,Q35178,http://dbpedia.org/resource/Kuwait_City,1
Q9361,Bishkek,Q3257686,Q9361,http://dbpedia.org/resource/Bishkek,1
Q9326,Vientiane,Q3257686,Q9326,http://dbpedia.org/resource/Vientiane,1
Q1773,Riga,Q3257686,Q1773,http://dbpedia.org/resource/Riga,1
Q3820,Beirut,Q3257686,Q3820,http://dbpedia.org/resource/Beirut,1
Q3909,Maseru,Q3257686,Q3909,http://dbpedia.org/resource/Maseru,1
Q3748,Monrovia,Q3257686,Q3748,http://dbpedia.org/resource/Monrovia,1
Q3579,Tripoli,Q3257686,Q3579,http://dbpedia.org/resource/Tripoli,1
Q1844,Vaduz,Q3257686,Q1844,http://dbpedia.org/resource/Vaduz,1
Q216,Vilnius,Q3257686,Q216,http://dbpedia.org/resource/Vilnius,1
Q1842,Luxembourg,Q3257686,Q1842,http://dbpedia.org/resource/Luxembourg_City,1
Q3915,Antananarivo,Q3257686,Q3915,http://dbpedia.org/resource/Antananarivo,1
Q3876,Lilongwe,Q3257686,Q3876,http://dbpedia.org/resource/Lilongwe,1
Q1865,Kuala Lumpur,Q3257686,Q1865,http://dbpedia.org/resource/Kuala_Lumpur,1
Q9347,Malé,Q3257686,Q9347,http://dbpedia.org/resource/Malé,1
Q3703,Bamako,Q3257686,Q3703,http://dbpedia.org/resource/Bamako,1
Q23800,Valletta,Q3257686,Q23800,http://dbpedia.org/resource/Valletta,1
Q12919,Majuro,Q3257686,Q12919,http://dbpedia.org/resource/Majuro,1
Q3688,Nouakchott,Q3257686,Q3688,http://dbpedia.org/resource/Nouakchott,1
Q3929,Port Louis,Q3257686,Q3929,http://dbpedia.org/resource/Port_Louis,1
Q1489,Mexico City,Q3257686,Q1489,http://dbpedia.org/resource/Mexico_City,1
Q21197,Chișinău,Q3257686,Q21197,http://dbpedia.org/resource/Chișinău,1
Q55115,Monaco-Ville,Q3257686,Q55115,http://dbpedia.org/resource/Monaco_City,1
Q23430,Ulaanbaatar,Q3257686,Q23430,http://dbpedia.org/resource/Ulaanbaatar,1
Q23564,Podgorica,Q3257686,Q23564,http://dbpedia.org/resource/Podgorica,1
Q3551,Rabat,Q3257686,Q3551,http://dbpedia.org/resource/Rabat,1
Q3889,Maputo,Q3257686,Q3889,http://dbpedia.org/resource/Maputo,1
Q37400,Naypyidaw,Q3257686,Q37400,http://dbpedia.org/resource/Naypyidaw,1
Q3935,Windhoek,Q3257686,Q3935,http://dbpedia.org/resource/Windhoek,1
Q31026,Yaren District,Q3257686,Q31026,http://dbpedia.org/resource/Yaren_District,1
Q3037,Kathmandu,Q3257686,Q3037,http://dbpedia.org/resource/Kathmandu,1
Q23661,Wellington,Q3257686,Q23661,http://dbpedia.org/resource/Wellington,1
Q3274,Managua,Q3257686,Q3274,http://dbpedia.org/resource/Managua,1
Q3674,Niamey,Q3257686,Q3674,http://dbpedia.org/resource/Niamey,1
Q3787,Abuja,Q3257686,Q3787,http://dbpedia.org/resource/Abuja,1
Q18808,Pyongyang,Q3257686,Q18808,http://dbpedia.org/resource/Pyongyang,1
Q384,Skopje,Q3257686,Q384,http://dbpedia.org/resource/Skopje,1
Q585,Oslo,Q3257686,Q585,http://dbpedia.org/resource/Oslo,1
Q3826,Muscat,Q3257686,Q3826,http://dbpedia.org/resource/Muscat,1
Q1362,Islamabad,Q3257686,Q1362,http://dbpedia.org/resource/Islamabad,1
Q515229,Ngerulmud,Q3257686,Q515229,http://dbpedia.org/resource/Ngerulmud,1
Q3306,Panama City,Q3257686,Q3306,http://dbpedia.org/resource/Panama_City,1
Q36526,Port Moresby,Q3257686,Q36526,http://dbpedia.org/resource/Port_Moresby,1
Q2933,Asunción,Q3257686,Q2933,http://dbpedia.org/resource/Asunción,1
Q956,Beijing,Q3257686,Q956,http://dbpedia.org/resource/Beijing,1
Q2868,Lima,Q3257686,Q2868,http://dbpedia.org/resource/Lima,1
Q1461,Manila,Q3257686,Q1461,http://dbpedia.org/resource/Manila,1
Q270,Warsaw,Q3257686,Q270,http://dbpedia.org/resource/Warsaw,1
Q597,Lisbon,Q3257686,Q597,http://dbpedia.org/resource/Lisbon,1
