correct_uris,Value,Value_cta_class,Value_answer_Qnode,Value_answer_dburi,evaluation
Q889,Afghanistan,Q3624078,Q889,http://dbpedia.org/resource/Afghanistan,1
Q222,Albania,Q3624078,Q222,http://dbpedia.org/resource/Albania,1
Q262,Algeria,Q3624078,Q262,http://dbpedia.org/resource/Algeria,1
Q228,Andorra,Q3624078,Q228,http://dbpedia.org/resource/Andorra,1
Q916,Angola,Q3624078,Q916,http://dbpedia.org/resource/Angola,1
Q781,Antigua and Barbuda,Q3624078,Q781,http://dbpedia.org/resource/Antigua_and_Barbuda,1
Q414,Argentina,Q3624078,Q414,http://dbpedia.org/resource/Argentina,1
Q399,Armenia,Q3624078,Q399,http://dbpedia.org/resource/Armenia,1
Q408,Australia,Q3624078,Q408,http://dbpedia.org/resource/Australia,1
Q40,Austria,Q3624078,Q40,http://dbpedia.org/resource/Austria,1
Q227,Azerbaijan,Q3624078,Q227,http://dbpedia.org/resource/Azerbaijan,1
Q778,Bahamas,Q3624078,Q778,http://dbpedia.org/resource/The_Bahamas,1
Q398,Bahrain,Q3624078,Q398,http://dbpedia.org/resource/Bahrain,1
Q902,Bangladesh,Q3624078,Q902,http://dbpedia.org/resource/Bangladesh,1
Q244,Barbados,Q3624078,Q244,http://dbpedia.org/resource/Barbados,1
Q184,Belarus,Q3624078,Q184,http://dbpedia.org/resource/Belarus,1
Q31,Belgium,Q3624078,Q31,http://dbpedia.org/resource/Belgium,1
Q242,Belize,Q3624078,Q242,http://dbpedia.org/resource/Belize,1
Q962,Benin,Q3624078,Q962,http://dbpedia.org/resource/Benin,1
Q917,Bhutan,Q3624078,Q917,http://dbpedia.org/resource/Bhutan,1
Q750,Bolivia,Q3624078,Q750,http://dbpedia.org/resource/Bolivia,1
Q750,Bolivia,Q3624078,Q750,http://dbpedia.org/resource/Bolivia,1
Q225,Bosnia and Herzegovina,Q3624078,Q225,http://dbpedia.org/resource/Bosnia_and_Herzegovina,1
Q963,Botswana,Q3624078,Q963,http://dbpedia.org/resource/Botswana,1
Q155,Brazil,Q3624078,Q155,http://dbpedia.org/resource/Brazil,1
Q921,Brunei,Q3624078,Q921,http://dbpedia.org/resource/Brunei,1
Q219,Bulgaria,Q3624078,Q219,http://dbpedia.org/resource/Bulgaria,1
Q965,Burkina Faso,Q3624078,Q965,http://dbpedia.org/resource/Burkina_Faso,1
Q967,Burundi,Q3624078,Q967,http://dbpedia.org/resource/Burundi,1
Q424,Cambodia,Q3624078,Q424,http://dbpedia.org/resource/Cambodia,1
Q1009,Cameroon,Q3624078,Q1009,http://dbpedia.org/resource/Cameroon,1
Q16,Canada,Q3624078,Q16,http://dbpedia.org/resource/Canada,1
Q1011,Cape Verde,Q3624078,Q1011,http://dbpedia.org/resource/Cape_Verde,1
Q929,Central African Republic,Q3624078,Q929,http://dbpedia.org/resource/Central_African_Republic,1
Q657,Chad,Q3624078,Q657,http://dbpedia.org/resource/Chad,1
Q298,Chile,Q3624078,Q298,http://dbpedia.org/resource/Chile,1
Q739,Colombia,Q3624078,Q739,http://dbpedia.org/resource/Colombia,1
Q970,Comoros,Q3624078,Q970,http://dbpedia.org/resource/Comoros,1
Q800,Costa Rica,Q3624078,Q800,http://dbpedia.org/resource/Costa_Rica,1
Q224,Croatia,Q3624078,Q224,http://dbpedia.org/resource/Croatia,1
Q241,Cuba,Q3624078,Q241,http://dbpedia.org/resource/Cuba,1
Q213,Czech Republic,Q3624078,Q213,http://dbpedia.org/resource/Czech_Republic,1
Q974,Democratic Republic of the Congo,Q3624078,Q974,http://dbpedia.org/resource/Democratic_Republic_of_the_Congo,1
Q35,Denmark,Q3624078,Q35,http://dbpedia.org/resource/Denmark,1
Q977,Djibouti,Q3624078,Q977,http://dbpedia.org/resource/Djibouti,1
Q784,Dominica,Q3624078,Q784,http://dbpedia.org/resource/Dominica,1
Q786,Dominican Republic,Q3624078,Q786,http://dbpedia.org/resource/Dominican_Republic,1
Q574,East Timor,Q3624078,Q574,http://dbpedia.org/resource/East_Timor,1
Q736,Ecuador,Q3624078,Q736,http://dbpedia.org/resource/Ecuador,1
Q79,Egypt,Q3624078,Q79,http://dbpedia.org/resource/Egypt,1
Q792,El Salvador,Q3624078,Q792,http://dbpedia.org/resource/El_Salvador,1
Q983,Equatorial Guinea,Q3624078,Q983,http://dbpedia.org/resource/Equatorial_Guinea,1
Q986,Eritrea,Q3624078,Q986,http://dbpedia.org/resource/Eritrea,1
Q191,Estonia,Q3624078,Q191,http://dbpedia.org/resource/Estonia,1
Q1050,Eswatini,Q3624078,Q1050,http://dbpedia.org/resource/Eswatini,1
Q1050,Eswatini,Q3624078,Q1050,http://dbpedia.org/resource/Eswatini,1
