Value,correct_uris,Value_cta_class,Value_answer_Qnode,Value_answer_dburi,evaluation
London,Q84,Q1496967,Q84,http://dbpedia.org/resource/London,1
California,Q99,Q1496967,Q99,http://dbpedia.org/resource/California,1
British Columbia,Q1974,Q1496967,Q1974,http://dbpedia.org/resource/British_Columbia,1
New York,Q1384,Q1496967,Q60,http://dbpedia.org/resource/New_York_City,0
Kinderhook,Q3710663,Q1496967,Q3478629,"http://dbpedia.org/resource/Kinderhook_(village),_New_York",0
West Germany,Q713750,Q1496967,Q713750,http://dbpedia.org/resource/West_Germany,1
Arizona,Q816,Q1496967,Q816,http://dbpedia.org/resource/Arizona,1
"Woodland Hills, California",Q1337818,Q1496967,Q837129,"http://dbpedia.org/resource/Woodland,_California",0
Southampton,Q79848,Q1496967,Q79848,http://dbpedia.org/resource/Southampton,1
"Santa Catalina Island, California",Q845229,Q1496967,Q845229,http://dbpedia.org/resource/Santa_Catalina_Island_(California),1
"Los Angeles County, California",Q104994,Q1496967,Q104994,"http://dbpedia.org/resource/Los_Angeles_County,_California",1
Hollywood,Q34006,Q1496967,Q34006,http://dbpedia.org/resource/Hollywood,1
Manhattan,Q11299,Q1496967,Q11299,http://dbpedia.org/resource/Manhattan,1
Mumbai,Q1156,Q1496967,Q1156,http://dbpedia.org/resource/Mumbai,1
Dutch East Indies,Q188161,Q1496967,Q188161,http://dbpedia.org/resource/Dutch_East_Indies,1
United States,Q30,Q1496967,Q30,http://dbpedia.org/resource/United_States,1
Berkshire,Q23220,Q1496967,Q23220,http://dbpedia.org/resource/Berkshire,1
Chennai,Q1352,Q1496967,Q1352,http://dbpedia.org/resource/Chennai,1
"Venice, Los Angeles",Q773853,Q1496967,Q773853,"http://dbpedia.org/resource/Venice,_Los_Angeles",1
"Fort Lauderdale, Florida",Q165972,Q1496967,Q165972,"http://dbpedia.org/resource/Fort_Lauderdale,_Florida",1
Channel Islands,Q42314,Q1496967,Q42314,http://dbpedia.org/resource/Channel_Islands,1
"Gold Coast, Queensland",Q140075,Q1496967,Q140075,"http://dbpedia.org/resource/Gold_Coast,_Queensland",1
Spain,Q29,Q1496967,Q29,http://dbpedia.org/resource/Spain,1
Surrey,Q23276,Q1496967,Q23276,http://dbpedia.org/resource/Surrey,1
Kowloon Tong,Q15278,Q1496967,Q239143,http://dbpedia.org/resource/Kowloon,0
Falsterbo,Q972113,Q1496967,Q194512,http://dbpedia.org/resource/Skanör_med_Falsterbo,0
"Northwood, London",Q2090609,Q1496967,Q2090609,"http://dbpedia.org/resource/Northwood,_London",1
East Berlin,Q56037,Q1496967,Q64,http://dbpedia.org/resource/Berlin,0
Honolulu,Q18094,Q1496967,Q18094,http://dbpedia.org/resource/Honolulu,1
Thiruvananthapuram,Q167715,Q1496967,Q167715,http://dbpedia.org/resource/Thiruvananthapuram,1
Kochi,Q1800,Q1496967,Q134093,http://dbpedia.org/resource/Kōchi_Prefecture,0
British India,Q129286,Q1496967,Q129286,http://dbpedia.org/resource/British_Raj,1
Mexico,Q96,Q1496967,Q96,http://dbpedia.org/resource/Mexico,1
"Jensen Beach, Florida",Q2375999,Q1496967,Q201516,"http://dbpedia.org/resource/Miami_Beach,_Florida",0
"Austin, Texas",Q16559,Q1496967,Q16559,"http://dbpedia.org/resource/Austin,_Texas",1
